rank,alpha,trainable_params,train_time_min,peak_vram_gb,eval_loss,eval_perplexity
8,16,1843200,4.408749413490296,2.822114816,0.0005381901282817125,1.0005383349785733
16,32,3686400,4.9767602721850075,2.221366784,4.9273166951024905e-05,1.0000492743808935
64,128,14745600,4.60335871775945,3.599498752,9.854636118689086e-06,1.0000098546846758
